date,store,item,sales
2017-09-01,2,5,29
2017-09-01,1,48,63
2017-09-01,2,45,138
2017-09-01,9,40,36
2017-09-01,8,17,48
2017-09-01,2,25,114
2017-09-01,1,11,74
2017-09-01,3,48,74
2017-09-01,2,10,120
2017-09-01,6,35,56
2017-09-01,1,38,84
2017-09-01,10,15,131
2017-09-01,6,41,26
2017-09-01,6,26,47
2017-09-01,7,47,17
2017-09-01,7,39,43
2017-09-01,7,8,55
2017-09-01,10,19,63
2017-09-01,2,6,100
2017-09-01,8,37,33
2017-09-01,6,33,60
2017-09-01,7,19,26
2017-09-01,1,13,97
2017-09-01,6,30,44
2017-09-01,6,20,39
2017-09-01,4,23,37
2017-09-01,1,33,99
2017-09-01,1,35,74
2017-09-01,2,27,31
2017-09-01,6,40,31
2017-09-01,9,18,102
2017-09-01,7,42,32
2017-09-01,5,32,36
2017-09-01,8,31,84
2017-09-01,2,3,47
2017-09-01,9,6,77
2017-09-01,7,35,50
2017-09-01,8,42,50
2017-09-01,8,5,28
2017-09-01,4,31,81
2017-09-01,10,39,75
2017-09-01,2,40,53
2017-09-01,5,24,76
2017-09-01,10,50,96
2017-09-01,6,34,23
2017-09-01,5,37,28
2017-09-01,7,15,67
2017-09-01,7,21,35
2017-09-01,7,43,54
2017-09-01,7,3,30
2017-09-01,7,11,69
2017-09-01,8,13,130
2017-09-01,6,29,53
2017-09-01,6,14,47
2017-09-01,3,15,122
2017-09-01,4,24,81
2017-09-01,8,23,31
2017-09-01,5,40,25
2017-09-01,4,43,59
2017-09-01,5,48,50
2017-09-01,4,35,83
2017-09-01,8,15,141
2017-09-01,6,46,35
2017-09-01,10,8,107
2017-09-01,7,6,57
2017-09-01,3,18,119
2017-09-01,10,40,41
2017-09-01,5,43,36
2017-09-01,9,2,67
2017-09-01,3,47,27
2017-09-01,8,49,52
2017-09-01,7,18,80
2017-09-01,2,43,60
2017-09-01,5,50,78
2017-09-01,3,29,102
2017-09-01,6,38,82
2017-09-01,1,24,96
2017-09-01,9,45,128
2017-09-01,7,41,16
2017-09-01,6,43,48
2017-09-01,8,47,38
2017-09-01,6,27,21
2017-09-01,4,48,77
2017-09-01,2,16,42
2017-09-01,7,45,80
2017-09-01,8,16,34
2017-09-01,2,26,68
2017-09-01,5,1,17
2017-09-01,4,5,28
2017-09-01,3,45,100
2017-09-01,8,30,63
2017-09-01,3,26,50
2017-09-01,9,27,32
2017-09-01,5,4,26
2017-09-01,3,40,54
2017-09-01,2,12,115
2017-09-01,9,20,61
2017-09-01,5,9,48
2017-09-01,2,24,96
2017-09-01,7,5,23
2017-09-01,7,22,75
2017-09-01,4,27,31
2017-09-01,6,25,81
2017-09-01,4,47,28
2017-09-01,3,16,32
2017-09-01,1,1,38
2017-09-01,6,15,85
2017-09-01,10,11,87
2017-09-01,10,3,56
2017-09-01,4,10,75
2017-09-01,3,39,53
2017-09-01,1,23,36
2017-09-01,3,34,34
2017-09-01,7,2,36
2017-09-01,9,39,62
2017-09-01,1,14,64
2017-09-01,6,31,46
2017-09-01,10,22,113
2017-09-01,6,18,79
2017-09-01,3,21,61
2017-09-01,1,20,47
2017-09-01,1,26,57
2017-09-01,3,37,50
2017-09-01,8,36,124
2017-09-01,10,45,126
2017-09-01,4,17,42
2017-09-01,8,46,93
2017-09-01,6,22,80
2017-09-01,10,18,125
2017-09-01,5,5,17
2017-09-01,7,32,42
2017-09-01,6,42,50
2017-09-01,9,28,121
2017-09-01,2,15,137
2017-09-01,6,6,53
2017-09-01,3,42,51
2017-09-01,8,25,126
2017-09-01,5,12,74
2017-09-01,5,30,39
2017-09-01,3,49,45
2017-09-01,7,30,32
2017-09-01,5,41,20
2017-09-01,5,22,80
2017-09-01,4,1,31
2017-09-01,7,10,80
2017-09-01,4,39,45
2017-09-01,3,50,91
2017-09-01,4,9,66
2017-09-01,4,19,43
2017-09-01,8,7,80
2017-09-01,9,33,82
2017-09-01,2,9,84
2017-09-01,9,32,68
2017-09-01,1,18,90
2017-09-01,2,29,111
2017-09-01,2,36,115
2017-09-01,2,14,120
2017-09-01,8,10,119
2017-09-01,1,12,96
2017-09-01,1,4,20
2017-09-01,9,7,68
2017-09-01,8,27,35
2017-09-01,10,21,68
2017-09-01,5,36,66
2017-09-01,10,42,48
2017-09-01,2,19,64
2017-09-01,6,5,16
2017-09-01,4,6,80
2017-09-01,6,12,80
2017-09-01,5,27,21
2017-09-01,10,35,100
2017-09-01,5,14,53
2017-09-01,10,37,43
2017-09-01,7,49,23
2017-09-01,7,25,71
2017-09-01,4,44,31
2017-09-01,1,9,53
2017-09-01,10,23,50
2017-09-01,9,31,82
2017-09-01,4,4,24
2017-09-01,2,34,29
2017-09-01,6,7,61
2017-09-01,5,10,59
2017-09-01,7,31,46
2017-09-01,4,20,61
2017-09-01,5,7,48
2017-09-01,10,2,90
2017-09-01,7,12,47
2017-09-01,7,4,24
2017-09-01,4,49,34
2017-09-01,1,43,45
2017-09-01,1,41,19
2017-09-01,8,41,33
2017-09-01,6,45,77
2017-09-01,5,29,53
2017-09-01,6,19,26
2017-09-01,2,22,112
2017-09-01,6,28,84
2017-09-01,9,44,39
2017-09-01,5,45,83
2017-09-01,9,14,72
2017-09-01,8,40,37
2017-09-01,2,21,62
2017-09-01,4,41,35
2017-09-01,4,7,74
2017-09-01,4,45,119
2017-09-01,5,46,49
2017-09-01,7,44,30
2017-09-01,7,37,28
2017-09-01,9,30,58
2017-09-01,6,44,31
2017-09-01,9,47,14
2017-09-01,9,46,77
2017-09-01,9,38,98
2017-09-01,10,10,95
2017-09-01,8,43,67
2017-09-01,1,16,30
2017-09-01,2,23,33
2017-09-01,2,49,52
2017-09-01,7,23,24
2017-09-01,5,35,60
2017-09-01,6,16,23
2017-09-01,5,6,49
2017-09-01,10,12,87
2017-09-01,5,26,42
2017-09-01,6,17,39
2017-09-01,8,20,75
2017-09-01,8,2,97
2017-09-01,9,16,44
2017-09-01,9,13,118
2017-09-01,9,1,19
2017-09-01,8,11,86
2017-09-01,3,17,43
2017-09-01,2,30,65
2017-09-01,3,1,33
2017-09-01,10,25,104
2017-09-01,1,39,49
2017-09-01,2,47,37
2017-09-01,5,39,46
2017-09-01,1,32,65
2017-09-01,2,35,111
2017-09-01,1,8,90
2017-09-01,6,49,23
2017-09-01,10,28,144
2017-09-01,3,25,125
2017-09-01,8,3,60
2017-09-01,5,47,21
2017-09-01,7,9,39
2017-09-01,8,18,147
2017-09-01,8,8,129
2017-09-01,5,34,30
2017-09-01,9,3,44
2017-09-01,2,50,107
2017-09-01,7,33,78
2017-09-01,10,36,115
2017-09-01,2,20,81
2017-09-01,8,12,116
2017-09-01,9,11,94
2017-09-01,6,37,31
2017-09-01,3,5,28
2017-09-01,3,24,86
2017-09-01,10,14,87
2017-09-01,1,2,67
2017-09-01,9,25,99
2017-09-01,10,13,120
2017-09-01,5,31,59
2017-09-01,10,31,90
2017-09-01,3,35,86
2017-09-01,3,14,78
2017-09-01,8,50,103
2017-09-01,8,6,85
2017-09-01,10,32,57
2017-09-01,10,47,35
2017-09-01,4,42,45
2017-09-01,5,25,73
2017-09-01,9,10,105
2017-09-01,8,33,114
2017-09-01,4,30,37
2017-09-01,4,38,111
2017-09-01,10,44,38
2017-09-01,8,28,130
2017-09-01,6,32,36
2017-09-01,1,29,64
2017-09-01,6,21,36
2017-09-01,4,34,30
2017-09-01,1,45,90
2017-09-01,2,42,59
2017-09-01,9,49,36
2017-09-01,2,2,89
2017-09-01,9,12,84
2017-09-01,2,44,44
2017-09-01,7,28,56
2017-09-01,3,30,73
2017-09-01,1,46,67
2017-09-01,3,6,88
2017-09-01,3,19,44
2017-09-01,9,37,43
2017-09-01,9,8,105
2017-09-01,9,48,76
2017-09-01,10,27,21
2017-09-01,3,27,28
2017-09-01,10,16,35
2017-09-01,10,48,73
2017-09-01,4,25,100
2017-09-01,8,1,33
2017-09-01,8,48,79
2017-09-01,6,9,49
2017-09-01,3,10,108
2017-09-01,8,44,37
2017-09-01,6,4,26
2017-09-01,10,7,87
2017-09-01,4,29,90
2017-09-01,1,3,41
2017-09-01,8,32,66
2017-09-01,3,23,49
2017-09-01,6,36,75
2017-09-01,4,26,56
2017-09-01,2,37,49
2017-09-01,7,38,83
2017-09-01,3,2,73
2017-09-01,3,31,99
2017-09-01,4,11,89
2017-09-01,2,1,42
2017-09-01,9,23,53
2017-09-01,4,13,117
2017-09-01,1,19,50
2017-09-01,9,15,109
2017-09-01,1,40,36
2017-09-01,8,14,100
2017-09-01,9,19,48
2017-09-01,6,50,54
2017-09-01,8,21,53
2017-09-01,5,11,69
